lam,n,dt,t_star,d_t_star
0.4,49,0.0005,0.1845,0.0
0.4,49,0.00025,0.184,-0.0005000000000000004
0.4,49,0.000125,0.183875,-0.0006249999999999867
0.4,99,0.0005,0.1845,0.0
0.4,99,0.00025,0.184,-0.0005000000000000004
0.4,99,0.000125,0.18375,-0.0007500000000000007
0.4,199,0.0005,0.1845,0.0
0.4,199,0.00025,0.184,-0.0005000000000000004
0.4,199,0.000125,0.18375,-0.0007500000000000007
0.6,49,0.0005,0.1645,0.0
0.6,49,0.00025,0.16425,-0.0002500000000000002
0.6,49,0.000125,0.164,-0.0005000000000000004
0.6,99,0.0005,0.1645,0.0
0.6,99,0.00025,0.16425,-0.0002500000000000002
0.6,99,0.000125,0.164,-0.0005000000000000004
0.6,199,0.0005,0.1645,0.0
0.6,199,0.00025,0.16425,-0.0002500000000000002
0.6,199,0.000125,0.163875,-0.0006250000000000144
0.8,49,0.0005,0.1505,0.0
0.8,49,0.00025,0.15025,-0.0002500000000000002
0.8,49,0.000125,0.150125,-0.00037499999999998646
0.8,99,0.0005,0.1505,0.0
0.8,99,0.00025,0.15025,-0.0002500000000000002
0.8,99,0.000125,0.150125,-0.00037499999999998646
0.8,199,0.0005,0.1505,0.0
0.8,199,0.00025,0.15025,-0.0002500000000000002
0.8,199,0.000125,0.150125,-0.00037499999999998646
