epoch,inclusion_loss,learning_rate
0,0.6710289489673227,0.002
1,0.04585389358384033,0.002
2,0.08331469518125009,0.002
3,0.30810667137649445,0.002
4,0.16673331677336556,0.002
5,0.042378862415567736,0.002
6,0.010780052505409421,0.002
7,0.014805134827338575,0.002
8,0.05609426909764685,0.002
9,0.09367849684740392,0.002
10,0.0963531582842341,0.002
11,0.06983869897914265,0.002
12,0.03630522110050708,0.002
13,0.016195577310230913,0.002
14,0.011332780151656275,0.002
15,0.010828069069339226,0.002
16,0.011039408613913573,0.002
17,0.013922504874025781,0.002
18,0.025071807592506032,0.002
19,0.03204068479519211,0.002
20,0.02220845312704374,0.002
21,0.0153518713793653,0.002
22,0.012224752079548075,0.002
23,0.00934216048001263,0.002
24,0.006291836754299039,0.002
25,0.004123703353633555,0.002
26,0.004182670535244401,0.002
27,0.006526721190577039,0.002
28,0.0096843282235544,0.002
29,0.011271080268769015,0.002
30,0.010300183290369464,0.002
31,0.008609287290763086,0.002
32,0.007129105710187686,0.002
33,0.006482651660877616,0.002
34,0.006284723856413237,0.002
35,0.005823594056810623,0.002
36,0.004793250282652072,0.002
37,0.003443915034483325,0.002
38,0.0024898202207645588,0.002
39,0.0030741005542405868,0.002
40,0.004782951108128893,0.002
41,0.004441291396873945,0.002
42,0.0034155707236013196,0.002
43,0.003605696856593783,0.002
44,0.004153243616180779,0.002
45,0.004156104273995047,0.002
46,0.0034851935027076304,0.002
47,0.002673005392850483,0.002
48,0.0024157849890814233,0.002
49,0.002864214412633604,0.002
50,0.00317022515444966,0.002
51,0.002899813469087066,0.002
52,0.0026386153090895586,0.002
53,0.002711177165685601,0.002
54,0.002941582089538337,0.002
55,0.003049025259520714,0.002
56,0.002913119243861706,0.002
57,0.0026213506530792215,0.002
58,0.0024057170336965156,0.002
59,0.0024426222900163783,0.002
60,0.0025713669078148375,0.002
61,0.002479693946795988,0.002
62,0.0023153089114113083,0.002
63,0.0023408672451299553,0.002
64,0.002476735871537169,0.002
65,0.0025218742932624485,0.002
66,0.0024272874037284346,0.002
67,0.0023203989171070197,0.002
68,0.0023220115169597677,0.002
69,0.002363630958854367,0.002
70,0.002311819280315962,0.002
71,0.0022277385206494423,0.002
72,0.002224122107295763,0.002
73,0.002272400051563163,0.002
74,0.002289655053572357,0.002
75,0.0022571687773738787,0.002
76,0.002223994113383016,0.002
77,0.0022286679085355577,0.002
78,0.002239491974435788,0.002
79,0.0022110314594459353,0.002
80,0.002169804144644731,0.002
81,0.0021612250271475283,0.002
82,0.0021738224220258797,0.002
83,0.002171703117030535,0.002
84,0.0021527778114352296,0.002
85,0.0021442105332368615,0.002
86,0.002151724706898297,0.002
87,0.0021485660191574375,0.002
88,0.002127469450566917,0.002
89,0.0021123637523027586,0.002
90,0.0021110779314237995,0.002
91,0.0021078066436541467,0.002
92,0.0020958444930439407,0.002
93,0.002086716544466518,0.002
94,0.0020870053696760487,0.002
95,0.0020859934794803868,0.002
96,0.002076232663939899,0.002
97,0.0020662281347186436,0.002
98,0.0020620280364003095,0.002
99,0.002057562650373448,0.002
100,0.0020485387060518575,0.002
101,0.002040311297939551,0.002
102,0.0020371188715331326,0.002
103,0.0020341068701627595,0.002
104,0.0020273700101425852,0.002
105,0.0020208690299746064,0.002
106,0.00201698400434365,0.002
107,0.002012182761287866,0.002
108,0.0020049747625447345,0.002
109,0.001998661260543558,0.002
110,0.0019945588365670227,0.002
111,0.0019899089660424807,0.002
112,0.001984009161056253,0.002
113,0.00197912048851199,0.002
114,0.001975220393564589,0.002
115,0.0019703033535551262,0.002
116,0.001964575943027696,0.002
117,0.0019596945802822408,0.002
118,0.0019553194803461605,0.002
119,0.0019502563238418579,0.002
120,0.0019451650511306227,0.002
121,0.0019409125422597917,0.002
122,0.0019367004582439293,0.002
123,0.001931925259937742,0.002
124,0.0019272987421117193,0.002
125,0.0019230936403564587,0.002
126,0.0019186324258640567,0.002
127,0.0019139376709264833,0.002
128,0.0019096253742956909,0.002
129,0.0019055273195398373,0.002
130,0.0019012142532674383,0.002
131,0.0018969404268958853,0.002
132,0.0018929389727724395,0.002
133,0.0018888745749638565,0.002
134,0.0018846526169214854,0.002
135,0.001880587111859984,0.002
136,0.0018766555554210577,0.002
137,0.001872636252328518,0.002
138,0.0018686563929706627,0.002
139,0.0018648517075140097,0.002
140,0.0018610496213253885,0.002
141,0.0018571935287184432,0.002
142,0.0018534336113886917,0.002
143,0.0018497397862055275,0.002
144,0.0018460050351833276,0.002
145,0.0018423140510089196,0.002
146,0.0018387254646233648,0.002
147,0.0018351477302943112,0.002
148,0.0018315774338710583,0.002
149,0.0018280853733752688,0.002
150,0.0018246298432851049,0.002
151,0.0018211673555769672,0.002
152,0.0018177523408684597,0.002
153,0.0018143926285025553,0.002
154,0.0018110429034912234,0.002
155,0.0018077262124685087,0.002
156,0.0018044685177914487,0.002
157,0.0018012347884885929,0.002
158,0.0017980206434406265,0.002
159,0.0017948534453628784,0.002
160,0.00179171725928079,0.002
161,0.0017885981674551662,0.002
162,0.0017855192491089095,0.002
163,0.0017824783883545695,0.002
164,0.0017794591139101976,0.002
165,0.001776473975906335,0.002
166,0.0017735263158929048,0.002
167,0.0017706009623650117,0.002
168,0.0017677036998672128,0.002
169,0.0017648416370523176,0.002
170,0.001762004737369357,0.002
171,0.0017591948011595458,0.002
172,0.0017564189843551064,0.002
173,0.0017536701021025258,0.002
174,0.0017509464740612128,0.002
175,0.0017482534743738286,0.002
176,0.0017455866735572975,0.002
177,0.001742943763454969,0.002
178,0.0017403294566390843,0.002
179,0.0017377415016375775,0.002
180,0.0017351774133527896,0.002
181,0.001732640399759886,0.002
182,0.0017301290557346,0.002
183,0.0017276407807089828,0.002
184,0.0017251777055695156,0.002
185,0.0017227391983376784,0.002
186,0.0017203231776833279,0.002
187,0.001717931113417887,0.002
188,0.0017155627901167536,0.002
189,0.0017132165297294752,0.002
190,0.001710893289854034,0.002
191,0.0017085928637019482,0.002
192,0.0017063137675058587,0.002
193,0.0017040566495867052,0.002
194,0.0017018214157410116,0.002
195,0.0016996070245300738,0.002
196,0.0016974139326319483,0.002
197,0.00169524199802023,0.002
198,0.001693090277995454,0.002
199,0.001690958954182901,0.002
200,0.0016888477565873143,0.002
201,0.0016867560024118478,0.002
202,0.0016846838617370372,0.002
203,0.0016826311501824491,0.002
204,0.0016805973375897316,0.002
205,0.0016785825357779553,0.002
206,0.001676586542514314,0.002
207,0.001674608886059447,0.002
208,0.0016726495575074417,0.002
209,0.0016707083365774325,0.002
210,0.001668784883191002,0.002
211,0.0016668791666915191,0.002
212,0.0016649909418519405,0.002
213,0.0016631199126376907,0.002
214,0.0016612659687422625,0.002
215,0.0016594288588437445,0.002
216,0.0016576083458227431,0.002
217,0.0016558043529714193,0.002
218,0.0016540166100952743,0.002
219,0.0016522448752067293,0.002
220,0.0016504890633417825,0.002
221,0.0016487489719543241,0.002
222,0.0016470244316514613,0.002
223,0.0016453153352774387,0.002
224,0.001643621463666297,0.002
225,0.001641942673478594,0.002
226,0.0016402788400082257,0.002
227,0.0016386297562347057,0.002
228,0.001636995265665431,0.002
229,0.0016353751827467408,0.002
230,0.0016337692863030546,0.002
231,0.0016321774465841328,0.002
232,0.0016305994683360968,0.002
233,0.0016290351683241168,0.002
234,0.0016274844174120307,0.002
235,0.001625947052979788,0.002
236,0.001624422925388144,0.002
237,0.0016229118824737216,0.002
238,0.001621413774969527,0.002
239,0.0016199284662793963,0.002
240,0.001618455821208933,0.002
241,0.001616995686577639,0.002
242,0.0016155479314471203,0.002
243,0.00161411241713619,0.002
244,0.0016126889996261994,0.002
245,0.0016112775500849706,0.002
246,0.0016098779050815132,0.002
247,0.001608489883253921,0.002
248,0.001607113326048456,0.002
249,0.0016057480888231948,0.002
250,0.0016043940182008944,0.002
251,0.0016030509598653664,0.002
252,0.0016017187740204695,0.002
253,0.0016003973296966905,0.002
254,0.0015990864924956658,0.002
255,0.0015977861296442592,0.002
256,0.001596496115954388,0.002
257,0.001595216339342254,0.002
258,0.0015939466783430572,0.002
259,0.001592686994291544,0.002
260,0.0015914371440237881,0.002
261,0.001590197002155035,0.002
262,0.0015889664431766668,0.002
263,0.0015877453437513184,0.002
264,0.0015865335813826987,0.002
265,0.0015853310168293625,0.002
266,0.0015841375004616155,0.002
267,0.0015829529090199807,0.002
268,0.0015817771213958286,0.002
269,0.0015806100178931773,0.002
270,0.0015794514795506585,0.002
271,0.001578301389094323,0.002
272,0.0015771596222240228,0.002
273,0.0015760260457323495,0.002
274,0.0015749005434386198,0.002
275,0.0015737829938441538,0.002
276,0.0015726732647994486,0.002
277,0.001571571243872601,0.002
278,0.0015704768323703256,0.002
279,0.0015693899214995447,0.002
280,0.0015683104019059983,0.002
281,0.0015672381656642643,0.002
282,0.0015661731057463881,0.002
283,0.0015651151164959736,0.002
284,0.001564064093132486,0.002
285,0.0015630199316610098,0.002
286,0.0015619825257580187,0.002
287,0.0015609517393719101,0.002
288,0.0015599274500890357,0.002
289,0.0015589095545366174,0.002
290,0.001557897950656707,0.002
291,0.0015568925380189907,0.002
292,0.001555893217478146,0.002
293,0.0015548998911025665,0.002
294,0.0015539124624278373,0.002
295,0.0015529308359963413,0.002
296,0.0015519549176124373,0.002
297,0.0015509846141790603,0.002
298,0.0015500198336546112,0.002
299,0.0015490604852369447,0.002
300,0.0015481064796585803,0.002
301,0.00154715773766829,0.002
302,0.0015462141756142228,0.002
303,0.001545275707424107,0.002
304,0.0015443422433037866,0.002
305,0.0015434136868169876,0.002
306,0.001542489952960225,0.002
307,0.0015415709582176128,0.002
308,0.0015406566201812515,0.002
309,0.0015397468573660831,0.002
310,0.0015388415893430824,0.002
311,0.0015379407330520475,0.002
312,0.0015370441919848022,0.002
313,0.0015361518836196283,0.002
314,0.0015352637199374844,0.002
315,0.0015343796217302736,0.002
316,0.0015334995130419295,0.002
317,0.0015326233191998242,0.002
318,0.0015317509668442664,0.002
319,0.001530882383752806,0.002
320,0.001530017498895924,0.002
321,0.0015291562423332145,0.002
322,0.0015282985451829276,0.002
323,0.0015274443396338859,0.002
324,0.0015265935557092758,0.002
325,0.0015257461181040631,0.002
326,0.001524901960714223,0.002
327,0.0015240610211082399,0.002
328,0.001523223242620677,0.002
329,0.0015223885638081039,0.002
330,0.0015215569235782459,0.002
331,0.0015207282618061673,0.002
332,0.0015199025193916435,0.002
333,0.001519079638022198,0.002
334,0.001518259560366488,0.002
335,0.0015174422298329204,0.002
336,0.0015166275907498295,0.002
337,0.001515815588275104,0.002
338,0.0015150061683643803,0.002
339,0.0015141992778381346,0.002
340,0.0015133948642660968,0.002
341,0.001512592874133585,0.002
342,0.0015117932452107788,0.002
343,0.00151099592487148,0.002
344,0.0015102008631129303,0.002
345,0.0015094080109206841,0.002
346,0.001508617320867327,0.002
347,0.0015078287461983931,0.002
348,0.0015070422375126264,0.002
349,0.0015062577431295236,0.002
350,0.0015054752177024963,0.002
351,0.0015046946168613198,0.002
352,0.001503915897082744,0.002
353,0.0015031390157405474,0.002
354,0.0015023639309568947,0.002
355,0.0015015906017003483,0.002
356,0.0015008189876389467,0.002
357,0.0015000490492111133,0.002
358,0.001499280747599313,0.002
359,0.0014985140469701782,0.002
360,0.001497748913463613,0.002
